aod,lst,soil_moisture,pm10,pm25,O3,NDVI,elevation,surface_pressure
1.033,25.53,0.3210715651512146,112.0,182.0,0.1312709450720719,0.16474002875,1353,83796.53515625
0.173,24.39,0.3339778184890747,50.0,98.0,0.1145778000354282,0.14820391875,1353,84271.48046875
0.158,24.39,0.3339778184890747,50.0,98.0,0.1145778000354282,0.14820391875,1353,84271.48046875
0.181,25.27,0.3317751884460449,36.0,89.0,0.1109109404263777,0.1470975225,1353,84351.18359375
0.284,25.27,0.3317751884460449,36.0,89.0,0.1109109404263777,0.1470975225,1353,84351.18359375
0.256,17.73,0.3280695080757141,63.0,137.0,0.1131321787834945,0.085291095,1353,83872.8828125
0.178,17.73,0.3280695080757141,63.0,137.0,0.1131321787834945,0.085291095,1353,83872.8828125
0.265,17.49,0.3177971541881561,69.0,145.0,0.1128904681121868,0.0852168146875,1353,83750.51171875
0.37,17.49,0.3177971541881561,69.0,145.0,0.1128904681121868,0.0852168146875,1353,83750.51171875
0.461,16.51,0.3511341214179992,71.0,160.0,0.1173851862548868,0.0850682540625,1353,83919.88671875
0.48,16.51,0.3511341214179992,71.0,160.0,0.1173851862548868,0.0850682540625,1353,83919.88671875
0.707,13.89,0.3338740170001983,77.0,162.0,0.115144924634424,0.0849196934375,1353,84220.10546875
0.621,13.89,0.3338740170001983,77.0,162.0,0.115144924634424,0.0849196934375,1353,84220.10546875
0.367,15.51,0.3240546584129333,99.0,161.0,0.1142614707351516,0.0848454131249999,1353,84211.97265625
0.249,15.51,0.3240546584129333,99.0,161.0,0.1142614707351516,0.0848454131249999,1353,84211.97265625
0.212,18.17,0.297307938337326,67.0,120.0,0.1196376308798231,0.0846968525,1353,84125.6796875
0.099,18.17,0.297307938337326,67.0,120.0,0.1196376308798231,0.0846968525,1353,84125.6796875
0.578,17.79,0.2895528376102447,117.0,134.0,0.111437984433601,0.084548291875,1353,84189.04296875
0.534,17.79,0.2895528376102447,117.0,134.0,0.111437984433601,0.084548291875,1353,84189.04296875
0.224,20.85,0.3046273291110992,71.0,136.0,0.1083296997378087,0.0843254509374999,1353,84141.17578125
